label	text_a	text_a_count
1	请问这机不是有个遥控器的吗？	14
1	发短信特别不方便！背后的屏幕很大用起来不舒服，是手触屏的！切换屏幕很麻烦！	37
1	手感超好，而且黑色相比白色在转得时候不容易眼花，找童年的记忆啦。	32
1	！！！！！	5
1	先付款的   有信用	10
1	价格质量售后都很满意	10
1	书的质量和印刷都不错，字的大小也刚刚好，很清楚，喜欢	26
1	超级值得看的一个电影	10
1	今天突然看到卓越有卖这个的，可是韩国不是卖没有了吗。虽然是引进版的，可是之前也卖没有了。卓越从哪里找出来的啊	54
1	江大，继续写	6
1	还不错，得多跟着练才能跟的上~~	16
1	我前天两本一起买还是42.8元的，怎么一下子就降价了。。。。但书还是对我有很大帮助的。而且发货速度很快，隔天就到了~！	59
1	内容自不必细说，80后的人都知道，质量比较好，虽然不是尽善尽美，但企事业算是不错了。	42
1	不是的话，看了这本书后我相信那就是真有时间隧道。	24
1	发货迅速，书的质量也很好~很满意~	17
1	作为一本指导性质的编程类书籍，这本书将各种设计模式演绎的淋漓尽致，通俗易懂，看后使人获益匪浅！设计模式只是开始，要真正的会用、用好还是需要实际的磨练。	75
1	绝对不容错过的收藏！	10
0	出售和购买盗版都是违法行为，你们还敢随便在这里瞎起哄。自己想想自己像是什么人吧	39
1	不知道拨号数字大不大，话筒音量大不大。。。。	22
1	神秘园的曲子总是能打动每一个人心中最真的地方，太好听了~	28
1	挺好！有空我也去听听！	11
1	鸟哥就是鸟哥。书对我这linux的初学者来说很有帮助。可惜 少有时间看	35
1	发货很即时，很快	8
1	非常不错的一部歌舞电影！很青春！	16
1	四天左右到的货，书很整洁	12
1	用起来很不错，没有出现问题，价格也不贵	19
1	挺不错。老狼还是没有什么变化，听他的歌永远能让人想起自己的纯真年代	33
1	结合电影来教学，如果碰到你喜欢的电影，那效率真不是一般的高呀！	31
1	不错的一本书，很实用，会继续购买其他系列的	21
1	游戏品质就不用多说了希望星空可以顶住,以后带给我们更多精彩的欧美奇幻游戏	36
1	风扇质量不错，就是有点吵！呵呵，我把前面的转扇壳子拆了，现在安静多了。静音！	38
1	都说哥们有点极端！我觉得这才叫爱憎分明！	20
1	什么时间有货啊？我订了一个，但是还订了洗发用品。送来的时候洗发的洒了一半，只能全部退回了。什么时间有货，我要订购！	57
1	很喜欢high school musical，我已经买了两部的牒了，但是第3部到现在还没有啊！！	48
1	降价吧~~~~~~~~~~~~，等待	18
1	自动查杀病毒，资源占用小，内存占用率比较低.	22
1	听《美梦成真》、《泪海》喜欢上了，好像蛮长时间没她的新歌了。	30
1	点在痘印上，都看不出来了，很不错，支持一下！～	23
1	我很喜欢	4
1	惠兰这套很适合在家里练,本想报个瑜伽班的,这下可省了几大百了.电视效果很清楚的.	40
1	质量还行，因为我喜欢张帅哥的作品，虽然有点贵，但我认了。	28
1	《指环王》三部曲的电影音乐是大气的，细腻的，交响乐般的，旋律性也很强，非常好听，值得收藏。但这套碟片音质尚欠缺一些。	58
1	你会很激动，强大的品牌之道，是可以实现的，这才是价值所在。	29
1	图像清晰，配音清楚，价格比盗版都要低，值得收藏！	24
1	不错  实用	6
1	最后一本了，拜托卓越一定想办法，让霆锋来签次名啊！！！！拜托拜托啦～～～～～！！	40
1	希望以后马先生讲得其他内容也应在卓越上买到	21
1	听着蛮经典的，不过，比想象的大，没想象的做工好。不过毕竟是大牌子，还可以	36
1	一直很喜欢英雄无敌系列游戏，历代英雄无敌系列都玩过了，更不能放过英雄无敌五。正版的游戏质量有保证，卓越现在的价格又很超值，就买了一套准备回家好好玩玩	74
1	看了这本书，总体感觉老外带孩子比中国人要粗些。其实，本来就不用太过细致了，人家那样照样能把孩子带好，不能把孩子放在保险箱里养。这书挺好的，可以看看	73
1	喜欢他现实，不矫揉的诗。诗按照时间顺序排列，也很喜欢封面。	29
1	与日系的不同，这本书风格很大气，很多东西很实用。最后的图纸非常的详细，简单的步骤都略过，把最紧要的关键点都写清楚了。印刷精美，内容详实，推荐大家购买。	75
1	好喜欢哦，但是又怕质量出问题。夏新的机子性价比是最好的，但质量还是不大放心。有谁用过这机子的，烦说下怎么样。因为我好想买的，真的。	65
1	还没仔细看  感觉像个大辞典	14
1	这本书已经完结了，封面上那个“壹”字，代表的是，《三生三世》是彩虹堂2009年推出的“前世今生系列”的第一本，并不是说《三生三世》还有第二本 大家放心吧	76
1	建议看此书时，只看他的客观记录，而不要去看他的有些个人议论，会被误导的。不过还是本值得一看的好书	48
1	步骤很详细.很实在	9
1	因为剧集太多没看全。虽然电视里老放，还是看不全。干脆买全了放家里慢慢看。	36
1	很喜欢这个小老头~！	10
1	刚刚收到书，很不错。	10
1	还不错！	4
1	快点进货吧，已经缺货一点日子啦。想买都买不了。	23
1	对孩子很有帮助。印刷质量也很好。但是：1、文字错误的地方很多 2、CD制作很粗糙。	41
1	是紧接着上部那40集的么，这下半部的40集就全部结束了？	28
0	mp4其实是不支持的	10
1	都是我最喜欢的经典国产动画片，两岁半的儿子好像还看不懂，更喜欢看动画书。	36
1	关于卓越网是“苹果官方唯一网络授权”有确凿的证据吗?质量到底如何,卓越有保证吗?	40
1	给宝宝做保健操，讲解很详细，真人示范，~~	21
1	啥时有货	4
1	书中阐述的道理大家都明白，难为作者能够通过很简单的小故事讲述出来，有很多感同身受到地方。不过是否能改变自己的生活还是要靠自己	62
1	每一首都很经典，值得收藏	12
1	不错啦，老师推荐的，找了一个学期，终于让我找到了	24
1	虽然讲的还是很简略,但大家的风范非常值得感受.	23
1	请问此款机器的颜色和普通版的D600（黑）有些什么不同？卓越客服能帮我看一下么？	40
1	我刚买好，也看过了。效果不错喔！送的写真图册，写很灵！喜欢JAY的朋友可以用作收藏！	42
1	买来看了你就知道它的奇妙了!哈哈哈哈!	19
1	听后感觉不错。	7
1	很帅啊，不过壳子压坏了，运的时候肯定饱受摧残。。。。。。。	29
1	张悦然的书一直都收藏着，这本也不例外！	19
1	因为游侠汉化事件造成双星2延期到6月底才发行等了这么久了我超爱F社的游戏强烈支持！！！	43
1	买之前是因为看他排名比较靠前，买去来以后发现确实很不错。	28
1	无话可说，不买绝对后悔！	12
1	个人觉得这是久石让最近最好的作品,什么时候有?	23
0	排版有问题，页面上下不居中，可能是出版社不能正常出版的次品吧！	31
1	一本好书，很完美	8
1	终于认真地把这本书看完了，总的来说很不错，很实用，其中的一些经络养生方法很适合我这种上班族女性，感谢萧医生！	54
1	什么也不说了，经典作品，另外可以做此类游戏的入门学习……	28
1	就是我要找的，很少有地方有这	14
1	思路很新颖，值得看。	10
1	因为之前我买了几个游戏，结果到了家都玩不了，因为我没有注意后面的操作系统里面没有写有VISTA。。麻烦高人指点。	56
1	对于爱好中华传统文化的人是一部很好的记录片，它没有教课书那么枯燥，也不似工具书那么艰涩难懂。马未都先生以他渊博的学识对你娓娓道来：中国古典家具收藏……	75
1	喜欢，但是为什么编辑不能把这DVD的详细信息写清楚呢？配音呢？我们想知道配音是什么：-（	44
1	近两岁的女儿非常喜欢看,碟片质量不错，用42寸宽屏放也很清晰。	31
1	就内容而言，值得收藏。能帮助自己摆平心态，这年代能听进去的教育不多，这总算是个例外。	42
1	老板,你们怎么不进货呢??????????????????????????????郁闷	43
1	很不错 很喜欢的 值得购买	13
1	整体说还不错，只是词汇量少了些，好些基础词汇都被省略了，所以比较适合单词量大的同学，对基础不太好的同学来说灰楼被很多重要单词的。	64
1	虽然有点味道的，但孩子很喜欢	14
1	是买给父母的礼物，还没用多久，他们很开心，应该是不错的。	28
1	除了送来时 觉得书有点被蹭了外  总体来说 里面的内容非常不错 很好	34
1	绝对的好听，歌坛需要这样的声音	15
1	南拳妈妈的歌曲很好，可惜版本的歌曲可惜不全！	22
1	等了很久终于上市了！！开心！从中能学到很多职场智慧，看到……极品男人。hiahia	41
1	至于D 就感觉 有些重复的样子	15
1	质量不错嘛！	6
1	TB上只要330，要是这里能降到350我肯定买，毕竟在JOYO买了很多东西，信得过	41
1	编辑的也很好。	7
1	我来顶上去，看看问题所在	12
1	I like it, hear it on my car. i had good time with it.	54
1	我买的这个版本里面有3张安装盘，可是安得时候却提示要安装第四张盘，怎么搞的？现在游戏玩不了？	46
1	虽然是4年前的奥运会，不过还是很值得珍藏。	21
1	我非常喜欢此类书籍！	10
1	好书一本，其他不必多说了。	13
1	真是一个意外的价格，不如其他几本也一起降一嘛，这样大家买起来多方便的。。。	37
1	感觉影片不错，其他就不多说了。	15
1	外出的朋友一定要记得带是这本最完善，最真实的自助游手册啊	28
1	在卓越买了十几年碟,第一次碰到没法看的,我都不知道该怎么办?这可是我喜欢的老电影,我是买来经常看看并收藏的.	54
1	支持抗议！！！！支持M8！！！！！重申M8不是iPone！！！！！！！！！！！！！！！希望卓越不要犯低级错误！！！！	58
1	很不错，喜欢	6
1	搞得好像很复杂，但是只要玩一盘就明白了。很容易上手的游戏，适合多人。	34
1	我喜欢。买来学英语。	10
1	我非常喜欢的一部电视，破案过程非常过瘾	19
1	这本书不错!看的出来，六哥花了很多心血在上面!推荐一下	27
1	看过~据说好多电影的特效都是用这个做出来的~~	23
1	超级喜欢这张专辑	8
1	东西的质量不错，值得一买，价格也公道	18
1	给爸爸看，他也觉得不错，跟着练练太极拳健身很合适	24
1	便宜  而且很好  目前没出什么问题  买了好几个月了	27
1	去电影院看过，很感动，特地到卓越来买张正版支持一下。	26
1	第一次在卓越买东西..^^;;虽然韩版已经有了..还是期待引进版的入手^^	37
1	50年后的地球会是什么样子？如果你看过电影之后，请相信我，你会从此改变你的生活环保不是口号，也不是恐吓与威胁，而是人类求生的本能，仅此而已	69
1	前一段时间不是降到一千九百多吗，怎么又到两千多了，并且有两种颜色的还缺货，没有选择的余地，等降到两千以下再买吧！	56
1	我小孩喜欢反复看了多次	11
1	这本书是帮同事买的，好不好不大清楚。但同事指定要这本书，想必有些用处	34
1	课程编排明显是根据当时教学内容重新编辑，当中有不能很好衔接的地方。	33
1	老公很忙，没有时间陪我去上孕妇班，给我买了本书，可以在家自己学习和运动。这书我很喜欢，自己看书也可以学到很多东西，而且时间安排还自由，我喜欢。	71
1	不管包装还是歌词本做的都很精致,呵呵还送了东西绝对物超所值啊.整张专辑肯了就很舒服.比小宇宙样子好看,但是歌好听就好了啦.青峯大爱~!	67
1	都是名家之作，不会让你失望的。不过由于是历史录音，音质稍微有些糙，可以理解。	38
1	从专辑质量来说确实非常的好~但是感觉最近新索涨价的厉害~当时有抽奖的时候也就是38块~现在是越来越高了~强烈要求降价~	59
1	如题，等降点再买	8
1	关于佛的故事，一段皈依的历程	14
1	现在的引进版质量越来越好了	13
1	录像年代比较近，所以图像和声音都比较好。三个折子戏，总时间约一百二十分钟。	37
1	可以让我掌握我不会的知识，受易非浅	17
1	等好久，終於等到上市了裡面的方子作法很多很豐富，值得擁有！	29
1	其实以前看过两遍，很长时间后，看到电台重播又不由自主跟着看上了。于是考虑还是买一套	41
1	这个新版的和以前版本的版式不同，很不错的。	21
1	很喜欢这本书，学习完对EXCEL的操作很大的进步！谢谢！！	29
1	2次都这样了，究竟是有货还是没货啊	17
1	非常好的书，适合反复研究	12
1	急！！！！！！！！！！	11
1	喜欢喜欢~~快看吧！！！	12
1	很不错的瑜伽课程	8
1	几天没看邮件，又缺货了呜呜呜呜呜呜……	19
1	某网才46.00说！	10
1	学习日语的经典，必备的学习材料，当然要买	20
1	买了，昨天送来了。对比了一下，跟原装的一样。包装真的是简单哦，一个薄薄的塑料小袋。不过看了插口，都是没有用过的新品。	58
1	我买了好几本图说天下觉得很好图文并茂  对学习地理有很大的帮助我会继续支持的.......	45
1	颜色很鲜艳，很适合孩子阅读，我买给了一个四岁的小姑娘，她很喜欢	31
1	新蛋网的报价比这里低啊~中关村的价格比这里便宜不少啊~~~~	30
1	不出所料,里面塑料有破损!3碟都带DTS!!!!	24
1	加油，陈绮贞！	7
1	我现在买这款1250贵吗？我没去卖场问过 希望了解它的给个建议呗  谢啦	36
1	如果你还没买过菜谱，你一定要买这一本。强烈推荐作者的博客	28
1	这个软件还比较有用，不过学习关键还是在自己用功否，所以结果当然也会因人而异喽！	39
1	挺不错的。。	6
1	看过阿婆的几部作品，这部是我最喜欢的！故事情节严密，推理结果让人信服	34
1	我买了江民杀毒2008升级版，好用。五星	20
1	音效非常棒，听起来很舒服。赞！	15
1	标准的教学片，很好！就是贵了些。	16
1	确实好书	4
1	经典，值得收藏。清晰度差，但是我找到的最清晰的了。这个系列的我还在买	34
1	这个电脑包还不错，内部空间不错，可以装蛮多东西，功能分区比较合理，DELL 1520刚好放进去......	53
1	价钱也不贵 建议大家收藏了	13
1	绝对是经典中的经典,文笔流畅,引人入胜,我是连续五个晚上熬夜看完的.	34
1	内容挺丰富的，资料设定也挺精美的，可就没找到礼品卡，呵呵，对我到是可有可无的东东，但不希望下次买其他东西再少点什么！！！	60
1	在这买了要保修的话 会不会麻烦啊	16
1	畫質大部分還不錯~值得珍藏!	14
1	起码到现在为止也出现问题用了一年了	17
1	靠,又降价了,白色的还来不来啊!!!给个准话呗~等的花儿都谢了...	34
1	我还没有全部读完，才看到前面几个篇幅，英文内容很简明易懂，适合学习英文的我们。中文翻译的也不错，相当精确。内容不错的一本书。	62
1	上网对战，歌曲都很多，毯子踩起也比较舒服，很好	23
1	深入浅出，实用性非常强，对生活很有指导意义。	22
1	三星的双卡手机中性价比较好的一款手机，购入一星期了，使用感觉不错，手感很好，样子也是我喜欢的类型，呵呵。	52
1	不愧为大师，的确是经典之作！不了解中国文化的人，想了解中国文化的人，自以为了解中国文化的人都应该看看！	51
1	BBC关于自然的所有DVD我都很喜欢因为喜欢大自然因为有很多事情自己经历不了透过BBC的片子能做到有一个愿望就是收集所有的关于自然、动物的BBC的碟片	75
1	我要一本了。	6
1	很好的学习资料！	8
1	不怎么怎么搞的,一带上去皮肤就过敏	17
1	这书看起来很豪华，里面是讲如何运用幽默的方法吗？休闲时可读一读。货到了通知我一下。	41
1	今天收到货，是正品，很不错的。自己再配个4G卡，很好用！	28
1	经经典作品，值得拥有，好的作品	15
0	什么意思啊？我前两天刚下订你们就降价，有没有搞错？	25
1	内容个人喜欢书的质量也不错	13
1	还不错，就是有点简单了，作为入门书可以了	20
1	已经升级最新版。	8
1	希望能尽快便宜一些！	10
1	SHE最棒！	6
1	东西不错,价格也划算... ...	17
1	很好的书,享受中	8
1	收货比较满意，质量不错。缺点：1、铃声太少，单调      2、子机待机时间太短      3、母机断开外接电源时，子机无法使用。	65
1	精选集每集都会讲述三个著名艺术家。如discovery一样，很实用，看完后可以收藏，等用时再拿来。	49
1	不同时候听，有不同的感觉！	13
1	如果你想对基金有一个系统了解，你可以选购此VCD.同时它的出发点只是入门，只有1G（上下加起来）所以请有一个合理定位	58
1	音质很动听,选曲很优秀,特别推荐,	17
1	小的还真不大...够放点剩菜大的和普通饭盒一样大	24
1	主题内容非常健康，引导孩子正确的行为导向。	21
1	这才叫真正的经典，早晨一起床，就打开听这个，简直是一种享受	29
1	我和他都是狮子座哦..他的音乐超棒.这张专辑引进没有删歌 这是最好的卖点.	37
1	非常喜欢这个清新的小乐队	12
1	我买过E2100,音质好像比E1100好点,E1100样子比较有意思-_-	37
1	童年美好回忆。	7
1	用来收藏的，很值得	9
1	当礼物送人的，挺好！	10
